CID,IUPACName,MolecularFormula,MW,logP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,CanonicalSMILES,InChIKey
6279,"[(6S,8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",C24H34O4,386.5,4.1,60.4,0,4,3,28,,PSGAAPLEWMOORI-PEINSRQWSA-N
44537963,"7-(5-methylfuran-2-yl)-3-[[6-[[(3S)-oxolan-3-yl]oxymethyl]-2-pyridinyl]methyl]triazolo[4,5-d]pyrimidin-5-amine",C20H21N7O3,407.4,0.8,127.0,1,9,6,30,,KURQKNMKCGYWRJ-HNNXBMFYSA-N
11442891,"N-[5-[(2R)-2-methoxy-2-phenylacetyl]-4,6-dihydro-1H-pyrrolo[3,4-d]pyrazol-3-yl]-4-(4-methylpiperazin-1-yl)benzamide",C26H30N6O3,474.6,1.8,93.8,2,6,6,35,,XKFTZKGMDDZMJI-HSZRJFAPSA-N
214348,"4-[3,5-bis(2-hydroxyphenyl)-1,2,4-triazol-1-yl]benzoic acid",C21H15N3O4,373.4,3.8,108.0,3,6,4,28,,BOFQWVMAQOTZIW-UHFFFAOYSA-N
5284443,3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol;hydrochloride,C9H14ClNO2,203.66,,52.5,4,3,3,13,,OCYSGIYOVXAGKQ-FVGYRXGTSA-N
11338033,"4-[(2,6-dichlorobenzoyl)amino]-N-piperidin-4-yl-1H-pyrazole-5-carboxamide",C16H17Cl2N5O2,382.2,2.6,98.9,4,4,4,25,,OVPNQJVDAFNBDN-UHFFFAOYSA-N
91505,4-(diethylamino)but-2-ynyl 2-cyclohexyl-2-hydroxy-2-phenylacetate;hydrochloride,C22H32ClNO3,393.9,,49.8,2,4,8,27,,SWIJYDAEGSIQPZ-UHFFFAOYSA-N
71668132,"2-amino-N-[5-(5-oxo-7-piperazin-1-yl-[1,3,4]thiadiazolo[3,2-a]pyrimidin-2-yl)-3-pyridinyl]acetamide",C16H18N8O2S,386.4,-1.2,154.0,3,9,4,27,,LTVKZVGAALCRFW-UHFFFAOYSA-N
6291,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",C21H26O2,310.4,4.0,29.5,1,2,2,23,,IMSSROKUHAOUJS-MJCUULBUSA-N
46220502,N-[5-[(4-ethylpiperazin-1-yl)methyl]-2-pyridinyl]-5-fluoro-4-(7-fluoro-2-methyl-3-propan-2-ylbenzimidazol-5-yl)pyrimidin-2-amine,C27H32F2N8,506.6,3.8,75.0,1,9,7,37,,UZWDCWONPYILKI-UHFFFAOYSA-N
71420,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide;hydrochloride",C29H34Cl2N2O2,513.5,,43.8,2,3,7,35,,PGYPOBZJRVSMDS-UHFFFAOYSA-N
9808844,"4-[[4-(4-chloroanilino)furo[2,3-d]pyridazin-7-yl]oxymethyl]-N-methylpyridine-2-carboxamide",C20H16ClN5O3,409.8,3.1,102.0,2,7,6,29,,QFCXANHHBCGMAS-UHFFFAOYSA-N
5742832,"2-[(Z)-[1-(2-amino-1,3-thiazol-4-yl)-2-[[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid",C13H17N5O8S2,435.4,0.3,238.0,4,12,7,28,,WZPBZJONDBGPKJ-VEHQQRBSSA-N
54766013,"2-fluoro-N-[[5-(6-methyl-2-pyridinyl)-4-([1,2,4]triazolo[1,5-a]pyridin-6-yl)-1H-imidazol-2-yl]methyl]aniline",C22H18FN7,399.4,3.2,83.8,2,6,5,30,,FJCDSQATIJKQKA-UHFFFAOYSA-N
5335,4-amino-N-(2-phenylpyrazol-3-yl)benzenesulfonamide,C15H14N4O2S,314.4,1.5,98.4,2,5,4,22,,QWCJHSGMANYXCW-UHFFFAOYSA-N
24739943,N-[4-[3-chloro-4-[(3-fluorophenyl)methoxy]anilino]quinazolin-6-yl]prop-2-enamide,C24H18ClFN4O2,448.9,5.4,76.1,2,6,7,32,,MVZGYPSXNDCANY-UHFFFAOYSA-N
