Drug1,Drug2,Cell_line,classification
"2',3'-Dideoxyinosine",Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
5-Azacitidine,Allopurinol,786O_KIDNEY,antagonism
5-Azacitidine,Allopurinol,A549_LUNG,antagonism
5-Azacitidine,Allopurinol,ACHN_KIDNEY,antagonism
5-Azacitidine,Allopurinol,BT549_BREAST,antagonism
5-Azacitidine,Allopurinol,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Allopurinol,HOP62_LUNG,antagonism
5-Azacitidine,Allopurinol,HS578T_BREAST,antagonism
5-Azacitidine,Allopurinol,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Allopurinol,NCIH522_LUNG,antagonism
5-Azacitidine,Allopurinol,OVCAR8_OVARY,antagonism
5-Azacitidine,Allopurinol,UO31_KIDNEY,antagonism
5-Azacitidine,Anastrozole,HCT15_LARGE_INTESTINE,synergy
5-Azacitidine,Anastrozole,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Anastrozole,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Anastrozole,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Anastrozole,MDAMB231_BREAST,antagonism
5-Azacitidine,Anastrozole,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Anastrozole,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Bortezomib,786O_KIDNEY,antagonism
5-Azacitidine,Bortezomib,A498_KIDNEY,antagonism
5-Azacitidine,Bortezomib,BT549_BREAST,antagonism
5-Azacitidine,Bortezomib,DU145_PROSTATE,antagonism
5-Azacitidine,Bortezomib,HCT116_LARGE_INTESTINE,antagonism
5-Azacitidine,Bortezomib,HOP62_LUNG,antagonism
5-Azacitidine,Bortezomib,HS578T_BREAST,antagonism
5-Azacitidine,Bortezomib,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Bortezomib,MCF7_BREAST,antagonism
5-Azacitidine,Bortezomib,MDAMB231_BREAST,antagonism
5-Azacitidine,Bortezomib,NCIH226_LUNG,antagonism
5-Azacitidine,Bortezomib,NCIH522_LUNG,antagonism
5-Azacitidine,Bortezomib,OVCAR8_OVARY,antagonism
5-Azacitidine,Bortezomib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Bortezomib,SKMEL5_SKIN,antagonism
5-Azacitidine,Bortezomib,SKOV3_OVARY,antagonism
5-Azacitidine,Bortezomib,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Bortezomib,UACC62_SKIN,antagonism
5-Azacitidine,Bortezomib,UO31_KIDNEY,antagonism
5-Azacitidine,Busulfan,786O_KIDNEY,antagonism
5-Azacitidine,Busulfan,BT549_BREAST,antagonism
5-Azacitidine,Busulfan,CAKI1_KIDNEY,synergy
5-Azacitidine,Busulfan,DU145_PROSTATE,synergy
5-Azacitidine,Busulfan,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Busulfan,HS578T_BREAST,antagonism
5-Azacitidine,Busulfan,MDAMB231_BREAST,antagonism
5-Azacitidine,Busulfan,NCIH226_LUNG,antagonism
5-Azacitidine,Busulfan,NCIH522_LUNG,antagonism
5-Azacitidine,Busulfan,PC3_PROSTATE,antagonism
5-Azacitidine,Busulfan,SKMEL5_SKIN,antagonism
5-Azacitidine,Busulfan,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
5-Azacitidine,Busulfan,UACC257_SKIN,antagonism
5-Azacitidine,Busulfan,UO31_KIDNEY,antagonism
5-Azacitidine,Carmustine,786O_KIDNEY,antagonism
5-Azacitidine,Carmustine,ACHN_KIDNEY,antagonism
5-Azacitidine,Carmustine,DU145_PROSTATE,antagonism
5-Azacitidine,Carmustine,HOP62_LUNG,antagonism
5-Azacitidine,Carmustine,HOP92_LUNG,antagonism
5-Azacitidine,Carmustine,HS578T_BREAST,antagonism
5-Azacitidine,Carmustine,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Carmustine,IGROV1_OVARY,antagonism
5-Azacitidine,Carmustine,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Carmustine,LOXIMVI_SKIN,antagonism
5-Azacitidine,Carmustine,MDAMB231_BREAST,antagonism
5-Azacitidine,Carmustine,MDAMB435S_SKIN,antagonism
5-Azacitidine,Carmustine,NCIH226_LUNG,antagonism
5-Azacitidine,Carmustine,OVCAR4_OVARY,antagonism
5-Azacitidine,Carmustine,OVCAR8_OVARY,antagonism
5-Azacitidine,Carmustine,PC3_PROSTATE,antagonism
5-Azacitidine,Carmustine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Carmustine,SKMEL5_SKIN,antagonism
5-Azacitidine,Carmustine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Carmustine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Dasatinib,786O_KIDNEY,antagonism
5-Azacitidine,Dasatinib,A549_LUNG,antagonism
5-Azacitidine,Dasatinib,ACHN_KIDNEY,antagonism
5-Azacitidine,Dasatinib,BT549_BREAST,antagonism
5-Azacitidine,Dasatinib,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Dasatinib,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Dasatinib,IGROV1_OVARY,antagonism
5-Azacitidine,Dasatinib,NCIH226_LUNG,antagonism
5-Azacitidine,Dasatinib,NCIH522_LUNG,antagonism
5-Azacitidine,Dasatinib,OVCAR4_OVARY,antagonism
5-Azacitidine,Dasatinib,PC3_PROSTATE,antagonism
5-Azacitidine,Dasatinib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Dasatinib,SKOV3_OVARY,antagonism
5-Azacitidine,Dasatinib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Dasatinib,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Dasatinib,UACC62_SKIN,antagonism
5-Azacitidine,Dasatinib,UO31_KIDNEY,antagonism
5-Azacitidine,Decitabine,786O_KIDNEY,antagonism
5-Azacitidine,Decitabine,ACHN_KIDNEY,antagonism
5-Azacitidine,Decitabine,BT549_BREAST,antagonism
5-Azacitidine,Decitabine,CAKI1_KIDNEY,antagonism
5-Azacitidine,Decitabine,DU145_PROSTATE,antagonism
5-Azacitidine,Decitabine,IGROV1_OVARY,antagonism
5-Azacitidine,Decitabine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Decitabine,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Decitabine,MDAMB231_BREAST,antagonism
5-Azacitidine,Decitabine,MDAMB435S_SKIN,antagonism
5-Azacitidine,Decitabine,NCIH226_LUNG,antagonism
5-Azacitidine,Decitabine,NCIH522_LUNG,antagonism
5-Azacitidine,Decitabine,OVCAR4_OVARY,antagonism
5-Azacitidine,Decitabine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Decitabine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Decitabine,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Decitabine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Everolimus,786O_KIDNEY,antagonism
5-Azacitidine,Everolimus,A549_LUNG,antagonism
5-Azacitidine,Everolimus,ACHN_KIDNEY,antagonism
5-Azacitidine,Everolimus,BT549_BREAST,antagonism
5-Azacitidine,Everolimus,CAKI1_KIDNEY,antagonism
5-Azacitidine,Everolimus,DU145_PROSTATE,antagonism
5-Azacitidine,Everolimus,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Everolimus,HOP62_LUNG,antagonism
5-Azacitidine,Everolimus,IGROV1_OVARY,antagonism
5-Azacitidine,Everolimus,MALME3M_SKIN,antagonism
5-Azacitidine,Everolimus,MDAMB435S_SKIN,antagonism
5-Azacitidine,Everolimus,NCIH2122_LUNG,antagonism
5-Azacitidine,Everolimus,NCIH460_LUNG,antagonism
5-Azacitidine,Everolimus,NCIH522_LUNG,antagonism
5-Azacitidine,Everolimus,OVCAR4_OVARY,antagonism
5-Azacitidine,Everolimus,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Everolimus,SKMEL28_SKIN,antagonism
5-Azacitidine,Everolimus,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Everolimus,T47D_BREAST,antagonism
5-Azacitidine,Everolimus,UACC62_SKIN,antagonism
5-Azacitidine,Everolimus,UO31_KIDNEY,antagonism
5-Azacitidine,Fulvestrant,A498_KIDNEY,synergy
5-Azacitidine,Fulvestrant,HCT116_LARGE_INTESTINE,antagonism
5-Azacitidine,Fulvestrant,HOP92_LUNG,antagonism
5-Azacitidine,Fulvestrant,LOXIMVI_SKIN,antagonism
5-Azacitidine,Fulvestrant,SKMEL5_SKIN,antagonism
5-Azacitidine,Fulvestrant,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Hydroxyurea,786O_KIDNEY,antagonism
5-Azacitidine,Hydroxyurea,A549_LUNG,antagonism
5-Azacitidine,Hydroxyurea,BT549_BREAST,antagonism
5-Azacitidine,Hydroxyurea,HOP62_LUNG,antagonism
5-Azacitidine,Hydroxyurea,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Hydroxyurea,MALME3M_SKIN,antagonism
5-Azacitidine,Hydroxyurea,MDAMB231_BREAST,antagonism
5-Azacitidine,Hydroxyurea,NCIH2122_LUNG,antagonism
5-Azacitidine,Hydroxyurea,NCIH226_LUNG,antagonism
5-Azacitidine,Hydroxyurea,NCIH522_LUNG,antagonism
5-Azacitidine,Hydroxyurea,OVCAR4_OVARY,antagonism
5-Azacitidine,Hydroxyurea,PC3_PROSTATE,antagonism
5-Azacitidine,Hydroxyurea,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Hydroxyurea,UO31_KIDNEY,antagonism
5-Azacitidine,Ifosfamide,786O_KIDNEY,antagonism
5-Azacitidine,Ifosfamide,ACHN_KIDNEY,antagonism
5-Azacitidine,Ifosfamide,BT549_BREAST,antagonism
5-Azacitidine,Ifosfamide,DU145_PROSTATE,antagonism
5-Azacitidine,Ifosfamide,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Ifosfamide,HOP62_LUNG,antagonism
5-Azacitidine,Ifosfamide,IGROV1_OVARY,antagonism
5-Azacitidine,Ifosfamide,MDAMB231_BREAST,antagonism
5-Azacitidine,Ifosfamide,NCIH522_LUNG,antagonism
5-Azacitidine,Ifosfamide,OVCAR4_OVARY,antagonism
5-Azacitidine,Ifosfamide,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Ifosfamide,SW620_LARGE_INTESTINE,antagonism
5-Azacitidine,Imiquimod,786O_KIDNEY,antagonism
5-Azacitidine,Imiquimod,BT549_BREAST,antagonism
5-Azacitidine,Imiquimod,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Imiquimod,HOP62_LUNG,antagonism
5-Azacitidine,Imiquimod,HT29_LARGE_INTESTINE,antagonism
5-Azacitidine,Imiquimod,KM12_LARGE_INTESTINE,antagonism
5-Azacitidine,Imiquimod,MCF7_BREAST,synergy
5-Azacitidine,Imiquimod,MDAMB231_BREAST,antagonism
5-Azacitidine,Imiquimod,NCIH226_LUNG,antagonism
5-Azacitidine,Imiquimod,NCIH522_LUNG,antagonism
5-Azacitidine,Imiquimod,OVCAR4_OVARY,antagonism
5-Azacitidine,Imiquimod,OVCAR8_OVARY,antagonism
5-Azacitidine,Imiquimod,PC3_PROSTATE,antagonism
5-Azacitidine,Imiquimod,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Imiquimod,SKMEL5_SKIN,antagonism
5-Azacitidine,Imiquimod,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Imiquimod,UO31_KIDNEY,antagonism
5-Azacitidine,Ixabepilone,CAKI1_KIDNEY,antagonism
5-Azacitidine,Ixabepilone,HCT116_LARGE_INTESTINE,antagonism
5-Azacitidine,Ixabepilone,HCT15_LARGE_INTESTINE,synergy
5-Azacitidine,Ixabepilone,IGROV1_OVARY,antagonism
5-Azacitidine,Ixabepilone,MDAMB231_BREAST,antagonism
5-Azacitidine,Ixabepilone,NCIH226_LUNG,antagonism
5-Azacitidine,Ixabepilone,UO31_KIDNEY,antagonism
5-Azacitidine,Methotrexate,A498_KIDNEY,antagonism
5-Azacitidine,Methotrexate,BT549_BREAST,antagonism
5-Azacitidine,Methotrexate,HOP92_LUNG,antagonism
5-Azacitidine,Methotrexate,MCF7_BREAST,antagonism
5-Azacitidine,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
5-Azacitidine,Methotrexate,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
5-Azacitidine,Methoxsalen,786O_KIDNEY,antagonism
5-Azacitidine,Methoxsalen,ACHN_KIDNEY,antagonism
5-Azacitidine,Methoxsalen,BT549_BREAST,antagonism
5-Azacitidine,Methoxsalen,DU145_PROSTATE,antagonism
5-Azacitidine,Methoxsalen,HCT15_LARGE_INTESTINE,antagonism
5-Azacitidine,Methoxsalen,HOP62_LUNG,antagonism
