#node1	node2	combined_score
1-phosphatidylinositol 3-phosphate 5-kinase	Rho-associated protein kinase 2	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Rho-associated protein kinase 1	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	0.9
1-phosphatidylinositol 3-phosphate 5-kinase	Phosphatidylinositol 4-kinase beta	0.9
2-oxoglutarate dehydrogenase complex component E1	"Aspartate aminotransferase, cytoplasmic"	0.822
2-oxoglutarate dehydrogenase complex component E1	"Succinate-semialdehyde dehydrogenase, mitochondrial"	0.836
2-oxoglutarate dehydrogenase complex component E1	Isocitrate dehydrogenase [NADP] cytoplasmic	0.942
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Proto-oncogene tyrosine-protein kinase Src	0.781
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Retinoic acid receptor RXR-gamma	0.788
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Nuclear receptor coactivator 2	0.814
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Nuclear receptor coactivator 1	0.865
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial"	Retinoic acid receptor RXR-alpha	0.968
3-hydroxy-3-methylglutaryl-coenzyme A reductase	5'-AMP-activated protein kinase	0.905
3-hydroxy-3-methylglutaryl-coenzyme A reductase	5'-AMP-activated protein kinase subunit beta-1	0.9
3-hydroxy-3-methylglutaryl-coenzyme A reductase	5'-AMP-activated protein kinase subunit gamma-1	0.905
3-hydroxy-3-methylglutaryl-coenzyme A reductase	5'-AMP-activated protein kinase catalytic subunit alpha-1	0.909
3-oxo-5-alpha-steroid 4-dehydrogenase 1	Aldo-keto reductase family 1 member D1	0.9
