Drug1,Drug2,Cell_line,classification
Erlotinib,Dasatinib,LNCAPCLONEFGC_PROSTATE,antagonism
Axitinib,ThioTEPA,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Sorafenib,Allopurinol,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
ThioTEPA,5-Azacitidine,SKMEL5_SKIN,antagonism
Paclitaxel,Hydroxyurea,SW620_LARGE_INTESTINE,antagonism
Vismodegib,Altretamine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Methotrexate,Tretinoin,NCIH2122_LUNG,antagonism
ThioTEPA,Valrubicin,UACC62_SKIN,antagonism
Vandetanib,Altretamine,CAKI1_KIDNEY,antagonism
Teniposide,Letrozole,T47D_BREAST,antagonism
Gefitinib,Busulfan,UACC62_SKIN,antagonism
Chlorambucil,Methotrexate,MCF7_BREAST,antagonism
Etoposide,Imatinib,NCIH522_LUNG,antagonism
Vandetanib,Decitabine,NCIH522_LUNG,antagonism
Dasatinib,Sorafenib,MDAMB231_BREAST,antagonism
Chlorambucil,Carmustine,NCIH460_LUNG,antagonism
Gefitinib,Pemetrexed,MDAMB435S_SKIN,antagonism
Lomustine,Hydroxyurea,NCIH460_LUNG,antagonism
Fluorouracil,Erlotinib,KPL1_BREAST,antagonism
Vandetanib,Everolimus,A498_KIDNEY,antagonism
Fluorouracil,Ixabepilone,A498_KIDNEY,antagonism
Vemurafenib,ThioTEPA,NCIH23_LUNG,antagonism
Chlorambucil,Mitotane,SKMEL5_SKIN,antagonism
Fluorouracil,Temozolomide,ZR751_BREAST,antagonism
Pipobroman,Carmustine,IGROV1_OVARY,antagonism
Pemetrexed,Teniposide,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Dasatinib,BT549_BREAST,antagonism
Lomustine,Valrubicin,CAKI1_KIDNEY,antagonism
Etoposide,Tioguanine,A549_LUNG,antagonism
Lenalidomide,Chlorambucil,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Carmustine,Ixabepilone,UO31_KIDNEY,antagonism
Tioguanine,Carmustine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Valrubicin,HCT116_LARGE_INTESTINE,antagonism
5-Azacitidine,Bortezomib,UO31_KIDNEY,antagonism
Abiraterone,Dexrazoxane,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Teniposide,HOP92_LUNG,antagonism
Gefitinib,Mitotane,HOP92_LUNG,antagonism
Fluorouracil,Dasatinib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Fulvestrant,NCIH226_LUNG,antagonism
Lomustine,Carmustine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Carmustine,LOXIMVI_SKIN,antagonism
Dexrazoxane,Dasatinib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Allopurinol,LOXIMVI_SKIN,antagonism
Etoposide,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Teniposide,Ixabepilone,SKMEL5_SKIN,antagonism
ThioTEPA,Pipobroman,OVCAR8_OVARY,antagonism
Paclitaxel,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Vemurafenib,DU145_PROSTATE,antagonism
Fluorouracil,ThioTEPA,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Ifosfamide,SKMEL5_SKIN,antagonism
Teniposide,Methoxsalen,MALME3M_SKIN,antagonism
Lomustine,Paclitaxel,786O_KIDNEY,antagonism
Temozolomide,Bortezomib,MDAMB231_BREAST,antagonism
Chlorambucil,ThioTEPA,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Etoposide,Methotrexate,MCF7_BREAST,antagonism
Pipobroman,Pentostatin,BT549_BREAST,antagonism
Imatinib,Carmustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
ThioTEPA,Everolimus,UO31_KIDNEY,antagonism
Temozolomide,Erlotinib,SKMEL30_SKIN,antagonism
Dexrazoxane,Letrozole,NCIH23_LUNG,antagonism
Altretamine,Sorafenib,HOP92_LUNG,antagonism
Etoposide,Thalidomide,NCIH226_LUNG,antagonism
Teniposide,Dacarbazine,T47D_BREAST,antagonism
Dexrazoxane,Bortezomib,NCIH23_LUNG,antagonism
Chlorambucil,Paclitaxel,UACC62_SKIN,antagonism
Thalidomide,Carmustine,MDAMB468_BREAST,antagonism
Tioguanine,Hydroxyurea,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Vandetanib,Pemetrexed,MDAMB231_BREAST,antagonism
Crizotinib,Pentostatin,A549_LUNG,antagonism
Etoposide,Methotrexate,UACC62_SKIN,antagonism
Everolimus,Bortezomib,SKOV3_OVARY,antagonism
Pemetrexed,Sorafenib,MDAMB231_BREAST,antagonism
MK-2206,PD-0325901,NCIH1650_LUNG,antagonism
Etoposide,Pipobroman,T47D_BREAST,antagonism
Paclitaxel,MK-1775,KPL1_BREAST,antagonism
Etoposide,Chlorambucil,DU145_PROSTATE,antagonism
Everolimus,Allopurinol,HS578T_BREAST,antagonism
ThioTEPA,Mitotane,SKMEL5_SKIN,antagonism
Methotrexate,Dasatinib,SW837_LARGE_INTESTINE,antagonism
Abiraterone,Chlorambucil,SKMEL5_SKIN,antagonism
Valrubicin,Imiquimod,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Paclitaxel,786O_KIDNEY,antagonism
Dasatinib,Busulfan,A549_LUNG,antagonism
Pemetrexed,Paclitaxel,HOP92_LUNG,antagonism
5-Azacitidine,Pipobroman,HS578T_BREAST,antagonism
Vandetanib,Pipobroman,HCT116_LARGE_INTESTINE,antagonism
Dexrazoxane,Paclitaxel,BT549_BREAST,antagonism
Pipobroman,Ixabepilone,IGROV1_OVARY,antagonism
Axitinib,Fluorouracil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Pemetrexed,Chlorambucil,MALME3M_SKIN,antagonism
PD-0325901,Topotecan,UACC62_SKIN,antagonism
Abiraterone,Fluorouracil,SKMEL5_SKIN,antagonism
Lenalidomide,Teniposide,MCF7_BREAST,antagonism
Cabazitaxel,Fluorouracil,LOXIMVI_SKIN,antagonism
Vismodegib,Teniposide,MDAMB231_BREAST,antagonism
Etoposide,Letrozole,UACC62_SKIN,antagonism
Vandetanib,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Crizotinib,MDAMB231_BREAST,antagonism
Paclitaxel,Carmustine,MDAMB231_BREAST,antagonism
Teniposide,Vemurafenib,T47D_BREAST,antagonism
Everolimus,Hydroxyurea,MCF7_BREAST,antagonism
ThioTEPA,Paclitaxel,NCIH522_LUNG,antagonism
Axitinib,Dacarbazine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Fulvestrant,BT549_BREAST,antagonism
Vismodegib,ThioTEPA,MDAMB468_BREAST,antagonism
Tioguanine,ThioTEPA,MALME3M_SKIN,antagonism
Lomustine,ThioTEPA,A549_LUNG,antagonism
Tioguanine,Crizotinib,HOP92_LUNG,antagonism
Paclitaxel,Carmustine,MCF7_BREAST,antagonism
Everolimus,Anastrozole,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Everolimus,NCIH23_LUNG,antagonism
Crizotinib,Dacarbazine,A549_LUNG,antagonism
Dexrazoxane,Crizotinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Teniposide,T47D_BREAST,antagonism
Etoposide,Methotrexate,HOP92_LUNG,antagonism
Vismodegib,Sorafenib,SKMEL5_SKIN,antagonism
Gefitinib,Bortezomib,KM12_LARGE_INTESTINE,antagonism
Lenalidomide,Etoposide,MDAMB231_BREAST,antagonism
Dexrazoxane,Dasatinib,OVCAR4_OVARY,antagonism
Vandetanib,Valrubicin,CAKI1_KIDNEY,antagonism
Vismodegib,Allopurinol,UO31_KIDNEY,antagonism
Fluorouracil,Anastrozole,OVCAR8_OVARY,antagonism
Lenalidomide,Gefitinib,HOP62_LUNG,antagonism
5-Azacitidine,Pipobroman,MDAMB231_BREAST,antagonism
