ID,Drug1,Drug2,Cell line,ZIP,classification
1,5-FU,ABT-888,A2058,5.88,No_Effect
2,5-FU,AZD1775,A2058,12.29,Synergy
3,5-FU,AZD1775,A2058,7.64,Synergy
4,5-FU,AZD1775,A2058,14.79,Synergy
5,5-FU,DASATINIB,A2058,-5.79,No_Effect
6,5-FU,DASATINIB,A2058,5.56,No_Effect
7,5-FU,DINACICLIB,A2058,6.06,No_Effect
18,5-FU,MK-2206,A2058,13.29,Synergy
19,5-FU,MK-2206,A2058,7.47,No_Effect
24,5-FU,MK-8669,A2058,10.36,Synergy
25,5-FU,MK-8669,A2058,10.78,Synergy
26,5-FU,MK-8669,A2058,10.73,Synergy
27,5-FU,MK-8776,A2058,13.44,Synergy
28,5-FU,MK-8776,A2058,5.28,No_Effect
29,5-FU,PD325901,A2058,9.12,Synergy
34,5-FU,SUNITINIB,A2058,9.95,Synergy
35,5-FU,SUNITINIB,A2058,19.95,Synergy
36,5-FU,SUNITINIB,A2058,13.14,Synergy
37,5-FU,SUNITINIB,A2058,11.09,Synergy
38,5-FU,ZOLINZA,A2058,6.23,No_Effect
39,5-FU,ZOLINZA,A2058,13.45,Synergy
40,ABT-888,BEZ-235,A2058,8.27,Synergy
41,ABT-888,BEZ-235,A2058,6.34,No_Effect
42,ABT-888,BEZ-235,A2058,21.01,Synergy
43,ABT-888,BEZ-235,A2058,9.67,Synergy
44,ABT-888,DINACICLIB,A2058,8.19,Synergy
45,ABT-888,DINACICLIB,A2058,6.61,No_Effect
46,ABT-888,DINACICLIB,A2058,6.94,No_Effect
51,ABT-888,MK-8669,A2058,9.61,Synergy
52,ABT-888,MK-8669,A2058,6.24,No_Effect
53,ABT-888,MK-8776,A2058,5.89,No_Effect
54,ABT-888,MK-8776,A2058,8.04,Synergy
63,ABT-888,TOPOTECAN,A2058,5.5,No_Effect
64,AZD1775,ABT-888,A2058,10.71,Synergy
65,AZD1775,ABT-888,A2058,10.87,Synergy
66,AZD1775,BEZ-235,A2058,6.46,No_Effect
67,AZD1775,BEZ-235,A2058,11.4,Synergy
68,AZD1775,BEZ-235,A2058,9.77,Synergy
69,AZD1775,BEZ-235,A2058,8.64,Synergy
70,AZD1775,BORTEZOMIB,A2058,5.7,No_Effect
71,AZD1775,DASATINIB,A2058,13.75,Synergy
72,AZD1775,DASATINIB,A2058,15.77,Synergy
73,AZD1775,DASATINIB,A2058,6.59,No_Effect
74,AZD1775,DASATINIB,A2058,13.22,Synergy
75,AZD1775,DINACICLIB,A2058,8.96,Synergy
86,AZD1775,MK-2206,A2058,6.15,No_Effect
87,AZD1775,MK-2206,A2058,5.84,No_Effect
88,AZD1775,MK-4827,A2058,20.55,Synergy
89,AZD1775,MK-4827,A2058,23.7,Synergy
90,AZD1775,MK-4827,A2058,9.92,Synergy
91,AZD1775,MK-4827,A2058,24.87,Synergy
92,AZD1775,MK-8669,A2058,20.22,Synergy
93,AZD1775,MK-8669,A2058,8.07,Synergy
94,AZD1775,MK-8669,A2058,9.66,Synergy
95,AZD1775,MK-8669,A2058,8.48,Synergy
96,AZD1775,MK-8776,A2058,36.12,Synergy
97,AZD1775,MK-8776,A2058,36.76,Synergy
98,AZD1775,MK-8776,A2058,35.14,Synergy
99,AZD1775,MK-8776,A2058,33.23,Synergy
102,AZD1775,PD325901,A2058,8.68,Synergy
